Street Segement,SHAPELEN,District_1,District_2,TRAIN_ONEHOT,METRO_BLUESILVER,LIQUOR_ONEHOT,METRO_ORANGE,District_3,GRAFFITI_ONEHOT,District_4,District_5,District_6,District_7,GAS_ONEHOT,METRO_RED,METRO_GREEN,METRO_YELLOW,PUBLICSCHOOL_ES_ONEHOT,PUBLICSCHOOL_MS_ONEHOT,PUBLICSCHOOL_HS_ONEHOT,FAGI_MEDIAN_2015,POPDENSITY,HOUSINGDENSITY,PERCVACANTHOUSING,FAGI_MEDIAN_CHANGE,FEDERAL_ONEHOT,CORRIDOR_ONEHOT,HOMICIDES_ONEHOT
96,111.72066,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49413.5,10309.65734,5174.307583,0.081451061,1.161877778,0,0,0
97,54.80027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78115.75,17866.08763,9216.918356,0.088533385,1.22766516,0,0,0
98,30.98613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23658,12567.54342,5182.492132,0.143,0.949434144,0,0,0
99,34.44219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101467.5,22829.61703,12143.54199,0.070717131,1.184703671,1,0,0
101,92.30331,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110944.5,5342.018064,3276.219258,0.104368123,1.241587117,0,0,0
103,90.48977,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42315,2076.424622,798.2632629,0.075481799,1.045511823,0,0,0
104,287.85141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52796.5,6779.013743,2918.086146,0.078683036,1.084384243,1,0,0
105,88.19601,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76325,3589.787022,1956.910448,0.058441558,0.99952201,1,0,0
106,142.13728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36994.75,10603.14919,4289.393902,0.089608888,1.114256558,0,1,0
107,153.39105,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23679,7344.806172,2850.099631,0.129360465,1.040103663,0,0,0
108,330.76108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38670.5,9079.071427,4807.216543,0.094144661,0.994049149,0,0,0
109,127.79757,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,92684,13215.61291,8056.77231,0.144523655,1.205081198,1,0,0
110,87.09101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75309.5,22152.67682,11068.38127,0.075485262,1.247548289,0,0,0
111,147.13357,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25037,6155.910636,2899.659126,0.064724919,1.025728215,0,0,0
112,144.30338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,7.485821802,1.814744679,0,NaN,1,0,0
113,51.6309,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50505,11792.87523,5294.760309,0.046969697,1.129663595,0,0,0
114,224.80864,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52960,6986.240535,3356.055685,0.063706861,1.092404111,0,0,0
115,171.25079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131571,7847.997999,2991.020216,0.037755822,1.152751311,0,0,0
116,254.46108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89304,10648.32569,5598.450788,0.044436005,1.120994163,0,0,0
118,91.22177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26266,13285.07099,5988.142658,0.100513259,0.978796348,0,0,0
119,45.84013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52796.5,6779.013743,2918.086146,0.078683036,1.084384243,1,0,0
120,296.64544,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21980,1565.049732,665.7919447,0.150073206,1.00086517,0,0,1
121,46.59673,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29122,12357.82196,5351.891354,0.108309991,1.046462323,0,0,0
122,42.19196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68724.75,6849.244799,4911.1774,0.118488504,1.127809462,1,0,0
123,83.04712,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,46248.25,43361.2327,21165.00388,0.102420105,1.360752117,0,0,0
124,337.06282,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27703,13475.57779,6539.231134,0.096542344,0.977439977,1,0,0
125,250.30943,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30846,8930.196865,4503.033827,0.155282332,1.076536488,0,0,0
126,77.52047,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,42401,13524.64555,5398.408072,0.062383032,1.153768707,0,0,0
127,129.40113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38607,5812.336559,2585.039186,0.090557276,1.015332422,0,0,0
128,81.84149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25037,6155.910636,2899.659126,0.064724919,1.025728215,0,0,0
129,43.78408,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99800.5,3796.786943,1616.776851,0.038575668,1.128333117,0,0,0
130,257.45845,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,76325,3589.787022,1956.910448,0.058441558,0.99952201,0,0,0
131,39.6411,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36422,18200.57346,7402.481723,0.077000036,1.144575399,1,0,0
132,205.85351,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52042,6033.930456,3758.209018,0.092344754,1.128012832,1,0,0
133,340.69186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50999,9138.938773,3691.0491,0.089252293,0.936403953,1,0,0
134,397.14256,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22693,15469.65286,7682.431844,0.158919466,0.926671118,1,0,0
135,29.06954,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115586,11382.13364,4496.20505,0.097993467,0.989038822,1,0,0
